Año	Mes	Dia	Hora	Min	Seg	Lat	Lon	Profundidad	Magnitud
2003	6	21	1	55	0,2	-30,660	-71,657	13,4	3,4
2003	6	21	2	42	9,7	-30,615	-72,133	37	4
2003	6	21	3	7	14,4	-30,623	-72,242	34,8	3,5
2003	6	21	3	54	3,7	-30,651	-71,650	31,5	2,7
2003	6	21	4	19	3,7	-30,635	-71,707	22,7	3,8
2003	6	21	4	42	53,5	-30,736	-71,628	30,9	2,5
2003	6	21	5	26	59,1	-30,616	-71,643	34,9	3,1
2003	6	21	6	36	7,9	-30,689	-71,680	34,4	3,4
2003	6	21	6	54	3,1	-30,648	-71,707	13,8	3,3
2003	6	21	7	8	37	-30,770	-71,679	2,5	2,6
2003	6	21	9	5	51,3	-30,637	-71,660	27,9	3,5
2003	6	21	9	7	38,9	-30,624	-71,586	32,6	3,4
2003	6	21	9	45	14,4	-30,639	-72,236	19	4,3
2003	6	21	11	46	53,9	-30,849	-71,789	15,3	3,1
2003	6	21	15	3	49,4	-33,429	-70,722	76,4	2,8
2003	6	21	15	18	11,7	-30,792	-71,646	27	3,5
2003	6	21	17	17	36,5	-30,645	-71,641	34,1	3,4
2003	6	21	17	28	30,6	-30,659	-72,164	22,9	4,1
2003	6	21	18	29	13,2	-30,697	-71,694	26,7	4,3
2003	6	21	20	34	37	-30,599	-71,373	46,6	3,3
2003	6	22	0	6	43,6	-31,925	-71,649	25,7	4,1
2003	6	22	2	13	45,9	-30,703	-71,739	19	3
2003	6	22	2	45	3,2	-30,701	-71,712	26	2,8
2003	6	22	2	45	48,3	-30,737	-71,625	29	3,2
2003	6	22	3	20	38,7	-30,695	-71,743	15,2	3,2
2003	6	22	3	50	28,4	-30,778	-71,747	6,9	2,5
2003	6	22	4	12	44,1	-30,725	-71,698	27,1	3,3
2003	6	22	5	17	37,6	-30,639	-71,638	31	3,7
2003	6	22	5	31	27,1	-30,599	-71,552	33,8	3,2
2003	6	22	6	28	26,8	-30,665	-71,727	20	3,2
2003	6	22	7	9	15,3	-30,867	-71,780	11,9	3,7
2003	6	22	9	30	33,5	-30,352	-72,230	36,5	4
2003	6	22	9	35	57,1	-30,712	-71,724	8,7	4
2003	6	22	10	2	53,1	-30,678	-71,726	14,2	3,2
2003	6	22	11	13	49	-30,733	-71,829	15,1	3,1
2003	6	22	11	16	24,1	-30,704	-71,632	31,4	3,6
2003	6	22	11	35	22,8	-30,635	-71,614	34,1	3,2
